,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
33,"PepsiCo, Inc. Common Stock",153.73,-0.78,(-0.5%),Consumer Non-Durables,Beverages (Production/Distribution),"212,677,983,722","4,762,675",$5.49,$4.30,"Mar 31, 2022",2.73%,0.64
34,"NetEase, Inc. American Depositary Shares",79.09,-2.64,(-3.23%),Miscellaneous,Business Services,21.06,"4,742,719","Mar 10, 2022","Mar 25, 2022",0.51,"Dec 5, 2019",$3.45
35,Oracle Corporation Common Stock,77.82,+1.17,(+1.53%),Technology,Computer Software: Prepackaged Software,"207,814,185,540","22,795,849",$2.61,$1.28,"Jan 19, 2022",1.68%,0.83
36,Thermo Fisher Scientific Inc Common Stock,529.81,-8.44,(-1.57%),Capital Goods,Industrial Machinery/Components,"207,257,311,664","952,232",$19.45,$1.20,"Apr 14, 2022",0.19%,0.82
37,Comcast Corporation Class A Common Stock,45.02,-0.37,(-0.82%),Consumer Services,Television Services,"204,086,029,232","19,584,780",$3.03,$1.08,"Apr 27, 2022",2.17%,0.93
38,Abbott Laboratories Common Stock,114.02,-2.98,(-2.55%),Health Care,Medical/Dental Instruments,"201,072,248,083","8,012,571",$3.94,$1.88,"May 16, 2022",1.59%,0.76
39,"Merck & Company, Inc. Common Stock",78.26,+0.37,(+0.48%),Health Care,Biotechnology: Pharmaceutical Preparations,"197,820,432,006","9,424,532",$5.14,$2.76,"Apr 7, 2022",3.55%,0.44
40,Accenture plc Class A Ordinary Shares,311.58,+2.06,(+0.67%),Miscellaneous,Business Services,"196,918,789,323","3,811,927",$9.61,$3.88,"Feb 15, 2022",1.25%,1.24
41,Adobe Inc. Common Stock,416.38,-22.57,(-5.14%),Technology,Computer Software: Prepackaged Software,"196,677,396,541","4,434,498",$10.02,N/A,N/A,N/A,1.05
42,Salesforce.com Inc Common Stock,197.9,-2.25,(-1.12%),Technology,Computer Software: Prepackaged Software,"194,931,500,000","5,196,914",$1.50,N/A,N/A,N/A,1.1
43,"Nike, Inc. Common Stock",122.63,-3.40,(-2.7%),Consumer Non-Durables,Shoe Manufacturing,"193,914,239,328","5,882,024",$3.82,$1.22,"Apr 1, 2022",0.96%,0.97
44,Royal Dutch Shell PLC American Depositary Shares,50.93,-0.76,(-1.47%),Energy,Oil & Gas Production,"193,533,901,654","3,223,905",$5.16,$1.92,"Mar 28, 2022",3.71%,0.8
45,Danaher Corporation Common Stock,262.52,-1.31,(-0.5%),Health Care,Medical Specialities,"187,794,360,877","1,976,829",$8.62,$1.00,"Apr 29, 2022",0.32%,0.77
46,AstraZeneca PLC American Depositary Shares,60.3,-0.60,(-0.99%),Health Care,Biotechnology: Pharmaceutical Preparations,"186,862,209,775","6,342,213",$0.14,$1.93,"Mar 28, 2022",3.19%,0.46
47,Intel Corporation Common Stock,45.83,-0.83,(-1.78%),Technology,Semiconductors,"186,619,760,000","27,082,085",$4.86,$1.46,"Mar 1, 2022",3.07%,0.55
48,Wells Fargo & Company Common Stock,48.47,-0.54,(-1.1%),Finance,Major Banks,"184,891,569,696","23,707,064",$4.98,$1.00,"Mar 1, 2022",2.03%,1.18
49,Novartis AG Common Stock,82.37,-0.60,(-0.72%),Health Care,Biotechnology: Pharmaceutical Preparations,"184,092,003,517","2,415,809",$10.65,$2.182,"Mar 17, 2022",2.66%,0.51
50,"United Parcel Service, Inc. Common Stock",203.9,-3.28,(-1.58%),Transportation,Air Freight/Delivery Services,"177,472,807,072","2,006,586",$14.69,$6.08,"Mar 10, 2022",2.94%,1.12
51,BHP Group Limited American Depositary Shares,68.55,-2.66,(-3.74%),Basic Industries,Precious Metals,"173,511,127,337","4,716,334",N/A,$6.00,"Mar 28, 2022",8.59%,0.88
52,QUALCOMM Incorporated Common Stock,152.34,-2.37,(-1.53%),Technology,Radio And Television Broadcasting And Communications Equipment,"171,687,180,000","7,394,419",$8.73,$3.00,"Mar 24, 2022",1.73%,1.25
53,"Advanced Micro Devices, Inc. Common Stock",104.29,-2.17,(-2.04%),Technology,Semiconductors,"169,717,893,243","87,584,432",$2.58,N/A,N/A,N/A,1.85
54,McDonald's Corporation Common Stock,226.87,+4.87,(+2.19%),Consumer Services,Restaurants,"168,697,064,973","6,126,339",$10.04,$5.52,"Mar 15, 2022",2.48%,0.61
55,Union Pacific Corporation Common Stock,261.52,+1.87,(+0.72%),Transportation,Railroads,"166,561,815,235","3,873,780",$9.95,$4.72,"Mar 31, 2022",1.86%,1.17
56,AT&T Inc.,23.19,Unchanged,,Consumer Services,Telecommunications Equipment,"165,643,682,664","54,488,069",$2.76,$2.08,"Feb 1, 2022",8.94%,0.68
57,Texas Instruments Incorporated Common Stock,170.36,-2.39,(-1.38%),Technology,Semiconductors,"157,335,477,482","4,869,906",$8.26,$4.60,"Feb 7, 2022",2.67%,0.94
58,"NextEra Energy, Inc. Common Stock",79.3,-0.86,(-1.07%),Public Utilities,Electric Utilities: Central,"155,645,678,341","7,230,646",$1.81,$1.70,"Mar 15, 2022",2.12%,0.37
59,"T-Mobile US, Inc. Common Stock",124.57,+1.03,(+0.83%),Public Utilities,Telecommunications Equipment,"155,624,049,570","4,207,189",$2.41,N/A,N/A,N/A,0.5
60,Royal Bank Of Canada Common Stock,108.38,+0.10,(+0.09%),N/A,N/A,"153,533,291,749","633,125",$8.99,$3.786,"May 24, 2022",3.53%,0.92
61,Charles Schwab Corporation,80.24,+0.59,(+0.74%),Finance,Investment Bankers/Brokers/Service,"151,967,697,073","6,321,025",$2.82,$0.80,"Feb 25, 2022",1.01%,1.01
62,Morgan Stanley Common Stock,85.18,-0.68,(-0.79%),Finance,Investment Bankers/Brokers/Service,"151,731,090,473","8,568,086",$8.03,$2.80,"Feb 15, 2022",3.2%,1.49
63,"Netflix, Inc. Common Stock",340.32,-16.45,(-4.61%),Consumer Services,Movies/Entertainment,"151,089,524,574","4,819,925",$11.24,N/A,N/A,N/A,0.99
64,Bristol-Myers Squibb Company Common Stock,68.87,+0.45,(+0.66%),Health Care,Biotechnology: Pharmaceutical Preparations,"150,116,821,913","14,023,946",$3.12,$2.16,"May 2, 2022",3.17%,0.54
65,"Lowe's Companies, Inc. Common Stock",222.21,-1.96,(-0.87%),Consumer Services,RETAIL: Building Materials,"148,880,700,000","2,616,309",$11.97,$3.20,"Feb 2, 2022",1.42%,1.34
66,Raytheon Technologies Corporation Common Stock,96.92,-1.59,(-1.61%),Capital Goods,Military/Government/Technical,"144,636,719,260","4,354,304",$2.57,$2.04,"Mar 24, 2022",2.07%,1.02
67,Linde plc Ordinary Share,280.76,-2.72,(-0.96%),Basic Industries,Major Chemicals,"142,554,367,439","2,007,435",$7.32,$4.68,"Mar 25, 2022",1.45%,0.93
68,Toronto Dominion Bank,76.96,Unchanged,,N/A,N/A,"139,579,611,147","1,526,017",$6.36,$2.808,"Apr 30, 2022",3.66%,0.98
69,Medtronic plc. Ordinary Shares,103.82,-0.64,(-0.61%),Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"139,278,597,460","5,149,808",$3.63,$2.52,"Apr 22, 2022",2.43%,0.74
70,Philip Morris International Inc Common Stock,88.87,-3.02,(-3.29%),Consumer Non-Durables,Farming/Seeds/Milling,"137,733,198,097","8,629,831",$5.83,$5.00,"Apr 12, 2022",5.33%,0.78
71,CVS Health Corporation Common Stock,103.47,-0.61,(-0.59%),Health Care,Managed Health Care,"135,805,453,778","4,799,006",$5.96,$2.20,"May 2, 2022",2.12%,0.82
72,S&P Global Inc. Common Stock,379.68,-3.07,(-0.8%),Technology,Advertising,"134,748,603,995","2,252,080",$12.51,$3.40,"Jun 10, 2022",0.79%,1.04
73,TotalEnergies SE,49.65,-1.14,(-2.24%),Energy,Oil & Gas Production,"128,914,116,712","2,928,565",$5.91,$2.176,"Apr 12, 2022",4.39%,0.85
74,ConocoPhillips Common Stock,98.41,-1.31,(-1.31%),Energy,Integrated oil Companies,"127,886,443,804","7,666,506",$6.06,$2.28,"Apr 14, 2022",1.91%,1.41
75,American Express Company Common Stock,167.9,-1.70,(-1%),Finance,Finance: Consumer Services,"127,495,703,493","3,000,007",$9.99,$1.72,"Feb 10, 2022",1.02%,1.12
76,Amgen Inc. Common Stock,228.85,+1.90,(+0.84%),Health Care,Biotechnology: Pharmaceutical Preparations,"127,476,171,325","2,667,024",$10.31,$7.76,"Jun 8, 2022",3.35%,0.58
77,SAP SE ADS,107.68,-0.83,(-0.76%),Technology,EDP Services,"127,017,103,331","959,203",$5.27,$1.634,"May 25, 2021",1.46%,1.16
78,Sanofi ADS,50.71,-0.69,(-1.34%),Health Care,Biotechnology: Pharmaceutical Preparations,"126,634,826,911","1,239,009",$2.94,$1.368,"May 26, 2021",2.63%,0.56
79,"HSBC Holdings, plc. Common Stock",31.12,-0.15,(-0.48%),Finance,Savings Institutions,"125,811,901,706","3,817,864",$3.10,$1.985,"Apr 28, 2022",3.39%,0.58
80,Honeywell International Inc. Common Stock,182.24,-2.12,(-1.15%),N/A,N/A,"124,983,612,827","2,725,571",$7.92,$3.92,"Mar 11, 2022",2.11%,1.15
81,Intuit Inc. Common Stock,439.32,-13.05,(-2.88%),Technology,Computer Software: Prepackaged Software,"124,245,176,517","2,303,338",$7.84,$2.72,"Apr 18, 2022",0.59%,1.14
82,Sony Group Corporation American Depositary Shares,97.31,-2.87,(-2.86%),Consumer Non-Durables,Consumer Electronics/Appliances,"120,616,346,473","512,208",$6.35,$0.39,"Dec 8, 2021",0.4%,0.79
83,Lockheed Martin Corporation Common Stock,439.04,-5.32,(-1.2%),Capital Goods,Aerospace,"119,562,413,152","2,649,146",$22.76,$11.20,"Mar 25, 2022",2.5%,0.8
84,Deere & Company Common Stock,389.48,+11.33,(+3%),Capital Goods,Industrial Machinery/Components,"119,486,359,680","2,144,281",$18.04,$4.20,"May 9, 2022",1.14%,0.98
85,Rio Tinto Plc Common Stock,72.72,-2.13,(-2.85%),Basic Industries,Steel/Iron Ore,"117,837,359,449","4,664,595",N/A,$8.33,"Apr 21, 2022",9.68%,0.54
86,"Caterpillar, Inc. Common Stock",214.83,+3.04,(+1.44%),Capital Goods,Construction/Ag Equipment/Trucks,"115,124,829,996","4,045,469",$11.84,$4.44,"Feb 18, 2022",2.12%,0.94
87,"Charter Communications, Inc. Class A Common Stock New",559.29,-2.84,(-0.51%),Consumer Services,Television Services,"114,598,060,704","1,788,310",$24.83,N/A,N/A,N/A,0.96
88,Unilever PLC Common Stock,43.95,-0.40,(-0.9%),Consumer Non-Durables,Farming/Seeds/Milling,"112,787,462,207","4,135,842",N/A,$1.929,"Mar 22, 2022",4.25%,0.43
89,"PayPal Holdings, Inc. Common Stock",96.57,-1.98,(-2.01%),Miscellaneous,Business Services,"112,504,524,448","15,141,665",$3.52,N/A,N/A,N/A,1.29
90,"Anthem, Inc. Common Stock",465.26,-7.94,(-1.68%),Health Care,Medical Specialities,"112,269,270,721","1,074,549",$24.72,$5.12,"Mar 25, 2022",1.1%,1.04
91,International Business Machines Corporation Common Stock,123.96,-0.39,(-0.31%),Technology,EDP Services,"111,478,465,865","4,119,630",$6.35,$6.56,"Mar 10, 2022",5.2%,1.11
92,"Goldman Sachs Group, Inc.",327.0,-2.90,(-0.88%),Finance,Investment Bankers/Brokers/Service,"110,500,811,190","2,613,505",$59.36,$8.00,"Mar 30, 2022",2.4%,1.48
93,"Prologis, Inc. Common Stock",147.83,-3.25,(-2.15%),Consumer Services,Real Estate Investment Trusts,"109,394,200,000","1,997,389",$3.94,$3.16,"Mar 31, 2022",1.67%,0.85
94,"Applied Materials, Inc. Common Stock",123.64,-1.33,(-1.06%),Capital Goods,Industrial Machinery/Components,"109,222,913,166","6,015,969",$7.19,$0.96,"Mar 16, 2022",0.75%,1.41
95,"Citigroup, Inc. Common Stock",54.16,-0.72,(-1.31%),Finance,Major Banks,"107,285,252,240","20,550,931",$10.08,$2.04,"Feb 25, 2022",3.65%,1.7
96,American Tower Corporation,234.84,+2.04,(+0.88%),Finance,"Trusts, Except Educational, Religious, and Charitable","107,059,987,841","1,889,183",$5.67,$5.56,"Jan 14, 2022",2.39%,0.46
97,HDFC Bank Limited Common Stock,56.87,-0.46,(-0.8%),Finance,Commercial Banks,"105,091,198,571","2,528,312",$2.63,$0.211,"Aug 19, 2021",0.36%,0.76
98,"BlackRock, Inc. Common Stock",687.04,-10.16,(-1.46%),Finance,Investment Bankers/Brokers/Service,"104,459,211,183","814,666",$38.21,$19.52,"Mar 23, 2022",2.82%,1.23
99,Equinor ASA,32.29,-0.83,(-2.51%),Energy,Integrated oil Companies,"104,196,058,786","4,292,133",$2.64,$0.80,"May 27, 2022",1.57%,0.98
100,GlaxoSmithKline PLC Common Stock,40.56,-0.27,(-0.66%),Health Care,Biotechnology: Pharmaceutical Preparations,"103,100,455,854","4,686,794",$2.40,$2.458,"Apr 7, 2022",5.95%,0.72
102,"ServiceNow, Inc. Common Stock",512.15,-21.44,(-4.02%),Technology,Computer Software: Prepackaged Software,"102,430,000,000","1,228,906",$1.14,N/A,N/A,N/A,1.06
105,Infosys Limited American Depositary Shares,24.01,+0.17,(+0.71%),Technology,EDP Services,"100,637,406,948","7,892,838",$0.68,$0.338,"Nov 12, 2021",1.42%,0.92
106,"Intuitive Surgical, Inc. Common Stock",273.69,-2.03,(-0.74%),Health Care,Medical/Dental Instruments,"98,308,034,939","1,842,068",$4.67,N/A,N/A,N/A,1.17
107,Anheuser-Busch Inbev SA Sponsored ADR,55.91,-0.12,(-0.21%),Consumer Non-Durables,Beverages (Production/Distribution),"97,125,928,590","1,863,790",$2.33,$0.443,"Jun 3, 2021",0.77%,1.47
108,Target Corporation Common Stock,206.97,-7.81,(-3.64%),Consumer Services,Department/Specialty Retail Stores,"95,706,668,983","4,042,617",$14.07,$3.60,"Jun 10, 2022",1.67%,1.06
109,Starbucks Corporation Common Stock,82.73,-4.43,(-5.08%),N/A,N/A,"95,164,319,000","15,351,744",$3.71,$1.96,"Feb 25, 2022",2.24%,0.9
110,"Estee Lauder Companies, Inc.",264.23,-9.13,(-3.34%),Consumer Non-Durables,Package Goods/Cosmetics,"94,770,454,580","1,857,949",$8.85,$2.40,"Mar 15, 2022",0.86%,1.1
111,Stryker Corporation Common Stock,247.77,-0.60,(-0.24%),Health Care,Medical/Dental Instruments,"93,544,246,850","1,261,186",$5.21,$2.78,"Apr 29, 2022",1.11%,0.98
112,VALE S.A. American Depositary Shares Each Representing one common share,19.07,-0.24,(-1.24%),Basic Industries,Steel/Iron Ore,"92,389,621,333","31,342,897",$4.41,$1.443,"Mar 23, 2022",7.71%,0.89
113,BP p.l.c. Common Stock,28.27,-0.76,(-2.62%),Energy,Integrated oil Companies,"91,763,238,766","19,553,848",$2.23,$1.29,"Mar 25, 2022",4.45%,0.78
114,"Altria Group, Inc.",50.48,-0.75,(-1.46%),Consumer Non-Durables,Farming/Seeds/Milling,"91,735,149,615","9,435,225",$1.33,$3.60,"Apr 29, 2022",7.06%,0.58
115,"British American Tobacco Industries, p.l.c. Common Stock ADR",39.86,-1.19,(-2.9%),Consumer Non-Durables,Farming/Seeds/Milling,"91,254,738,180","5,676,031",N/A,$2.942,"May 9, 2022",7.1%,0.71
116,PetroChina Company Limited Common Stock,49.55,-1.01,(-2%),Energy,Oil & Gas Production,"90,686,894,500","263,006",$7.03,$3.582,"Nov 8, 2021",7.11%,0.66
117,Enbridge Inc Common Stock,44.46,+0.02,(+0.05%),Energy,Oil & Gas Production,"90,058,314,226","3,941,061",$2.26,$2.696,"Mar 1, 2022",6.11%,0.8
118,Petroleo Brasileiro S.A.- Petrobras Common Stock,13.76,-0.41,(-2.89%),Energy,Oil & Gas Production,"89,746,138,878","42,727,402",$3.04,$0.764,"Dec 22, 2021",5.51%,1.57
119,Canadian National Railway Company Common Stock,126.29,-1.41,(-1.1%),N/A,N/A,"88,377,742,000","1,353,872",$5.49,$2.324,"Mar 31, 2022",1.87%,0.8
120,Zoetis Inc. Class A Common Stock,185.29,-3.93,(-2.08%),Health Care,Biotechnology: Pharmaceutical Preparations,"87,451,428,768","1,589,668",$4.27,$1.30,"Jun 1, 2022",0.69%,0.78
121,"Automatic Data Processing, Inc. Common Stock",207.27,-2.16,(-1.03%),Miscellaneous,Business Services,"87,062,782,077","1,664,796",$6.46,$4.16,"Apr 1, 2022",1.98%,0.82
122,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,72.01,-0.10,(-0.14%),N/A,N/A,"86,733,711,012","1,486,351",$6.35,$3.155,"Apr 27, 2022",4.38%,0.94
124,Chubb Limited Common Stock,201.91,+0.49,(+0.24%),Finance,Property-Casualty Insurers,"86,059,948,675","1,424,044",$19.26,$3.20,"Apr 8, 2022",1.57%,0.75
125,Brookfield Asset Management Inc. Common Stock,53.5,-0.42,(-0.78%),Miscellaneous,Other Consumer Services,"83,903,028,739","1,720,150",$2.39,$0.56,"Mar 31, 2022",1.03%,1.3
126,Booking Holdings Inc. Common Stock,2017.4,-12.96,(-0.64%),Transportation,Other Consumer Services,"82,486,850,015","360,797",$28.12,N/A,N/A,N/A,1.21
127,"Mondelez International, Inc. Class A Common Stock",59.12,-1.04,(-1.73%),Consumer Non-Durables,Meat/Poultry/Fish,"82,077,953,961","9,385,282",$3.04,$1.40,"Apr 14, 2022",2.28%,0.71
128,Duke Energy Corporation,106.14,-0.05,(-0.05%),Public Utilities,Power Generation,"81,659,694,632","2,229,694",$4.93,$3.94,"Mar 16, 2022",3.74%,0.33
129,"Micron Technology, Inc. Common Stock",72.82,-2.90,(-3.83%),Technology,Semiconductors,"81,542,169,150","22,786,509",$6.48,$0.40,"Jan 18, 2022",0.5%,1.17
130,Blackstone Inc. Common Stock,116.05,-0.81,(-0.69%),Finance,Investment Managers,"81,279,946,397","2,993,791",$8.14,$5.80,"Feb 14, 2022",4.99%,1.33
131,CME Group Inc. Class A Common Stock,225.96,-2.00,(-0.88%),Finance,Investment Bankers/Brokers/Service,"81,209,509,489","1,295,061",$7.31,$4.00,"Mar 25, 2022",1.74%,0.43
132,"HCA Healthcare, Inc. Common Stock",267.0,-0.10,(-0.04%),Health Care,Hospital/Nursing Management,"81,061,200,000","1,370,039",$21.25,$2.24,"Mar 31, 2022",0.73%,1.61
133,3M Company Common Stock,140.96,-2.97,(-2.06%),N/A,N/A,"80,502,256,000","4,149,412",$10.12,$5.96,"Mar 12, 2022",4.07%,0.97
134,Dell Technologies Inc. Class C Common Stock,52.01,+0.04,(+0.08%),Technology,Computer Manufacturing,"78,684,795,546","2,977,486",$7.05,$1.32,"Apr 29, 2022",N/A,0.56
135,U.S. Bancorp Common Stock,52.65,-0.34,(-0.64%),Finance,Major Banks,"78,187,281,764","7,434,605",$5.10,$1.84,"Jan 18, 2022",3.38%,1.02
136,"Analog Devices, Inc. Common Stock",147.6,-2.96,(-1.97%),Technology,Semiconductors,"77,241,313,188","3,964,265",$3.18,$3.04,"Mar 8, 2022",1.98%,1.1
137,"Mitsubishi UFJ Financial Group, Inc. Common Stock",6.03,+0.02,(+0.33%),Finance,Commercial Banks,"76,611,089,742","3,411,600",$0.87,$0.195,"Dec 16, 2021",3.24%,0.73
138,"PNC Financial Services Group, Inc.",182.15,-2.81,(-1.52%),Finance,Major Banks,"76,221,541,638","2,342,912",$12.69,$5.00,"Feb 5, 2022",2.68%,1.29
139,CSX Corporation Common Stock,34.69,-0.20,(-0.57%),Transportation,Railroads,"76,088,679,812","21,957,297",$1.68,$0.40,"Mar 15, 2022",1.16%,1.22
140,Truist Financial Corporation Common Stock,57.14,-0.51,(-0.88%),Finance,Major Banks,"75,888,802,684","5,046,525",$4.47,$1.92,"Mar 1, 2022",3.28%,1.18
141,"Marsh & McLennan Companies, Inc. Common Stock",149.59,-1.90,(-1.25%),Finance,Specialty Insurers,"75,208,710,442","1,775,245",$6.13,$2.14,"Feb 15, 2022",1.4%,0.96
142,Crown Castle International Corp.,173.63,-2.54,(-1.44%),Consumer Services,Real Estate Investment Trusts,"75,045,415,442","1,179,283",$2.67,$5.88,"Mar 31, 2022",3.38%,0.54
143,Bank Of Montreal Common Stock,115.49,+0.69,(+0.6%),N/A,N/A,"74,892,892,258","661,160",$10.36,$4.197,"May 26, 2022",3.64%,1.21
145,"TJX Companies, Inc.",61.43,-0.62,(-1%),Consumer Services,Department/Specialty Retail Stores,"73,278,519,743","5,300,611",$2.70,$1.04,"Mar 3, 2022",1.7%,0.97
146,Southern Company,68.69,+0.08,(+0.12%),Public Utilities,Power Generation,"72,826,964,261","4,415,512",$2.26,$2.64,"Mar 7, 2022",3.93%,0.5
147,Cigna Corporation Common Stock,226.86,-2.60,(-1.13%),Health Care,Medical Specialities,"72,811,453,161","1,757,134",$15.74,$4.48,"Mar 24, 2022",1.94%,0.86
148,"Gilead Sciences, Inc. Common Stock",58.0,+0.08,(+0.14%),Health Care,Biotechnology: Pharmaceutical Preparations,"72,725,429,992","13,007,627",$4.93,$2.92,"Mar 30, 2022",4.81%,0.41
149,"Becton, Dickinson and Company Common Stock",254.51,-3.21,(-1.25%),Health Care,Medical/Dental Instruments,"72,477,086,807","1,304,420",$5.78,$3.48,"Mar 31, 2022",1.31%,0.66
150,Canadian Pacific Railway Limited Common Stock,77.63,-0.16,(-0.21%),N/A,N/A,"72,173,548,072","2,830,074",$3.37,$0.595,"Apr 25, 2022",0.78%,0.9
151,Intercontinental Exchange Inc. Common Stock,126.36,-3.20,(-2.47%),Finance,Investment Bankers/Brokers/Service,"70,995,657,892","2,582,096",$7.18,$1.52,"Mar 31, 2022",1.02%,0.84
